Battery_Weight,Battery_Capacity,Motor_Weight,Propeller_Weight,MV_omega_rad,MV_omega_RPM,MV_Voltage,MV_Thrust,MV_Torque,MV_Power,MV_Current,MV_Efficiency,MP_omega_rad,MP_omega_RPM,MP_Voltage,MP_Thrust,MP_Torque,MP_Power,MP_Current,MP_Efficiency,MC_omega_rad,MC_omega_RPM,MC_Voltage,MC_Thrust,MC_Torque,MC_Power,MC_Current,MC_Efficiency,MaxPower,MaxCur,PeakCur,ContCur,Aircraft_Weight,Aircraft_Thrust,Aircraft_Thrust2Weight,Aircraft_FlightTime,Battery,Motor,Propeller
0.109,2000.0,0.06,0.03402,570.95,5452.17,6.6,13.25,0.33,341.76,51.78,57.69,568.71,5430.81,6.56,16.04,0.33,336.84,51.34,57.79,441.91,4219.89,4.66,11.12,0.2,147.29,31.58,62.25,320.0,30.0,80.0,40.0,0.83231235,53.0,63.678017,7.7249904,Turnigynano-tech2000mAh2040C,t_motor_AT2312KV1400,apc_propellers_14x7E
0.109,2000.0,0.06,0.02495,512.21,4891.22,6.6,13.86,0.38,392.37,59.45,51.9,489.67,4676.0,6.19,14.5,0.35,336.84,54.46,52.85,368.92,3522.89,4.17,9.29,0.2,131.57,31.58,58.18,320.0,30.0,80.0,40.0,0.79603237,55.44,69.64541,6.728343,Turnigynano-tech2000mAh2040C,t_motor_AT2312KV1400,apc_propellers_14x4_7SF
0.109,2000.0,0.06,0.02214,556.39,5313.17,6.6,12.82,0.34,354.3,53.68,56.26,548.26,5235.52,6.46,16.36,0.33,336.84,52.12,56.58,426.02,4068.18,4.56,11.37,0.2,143.87,31.58,61.44,320.0,30.0,80.0,40.0,0.78479236,51.28,65.342125,7.451565,Turnigynano-tech2000mAh2040C,t_motor_AT2312KV1400,apc_propellers_13x4_7SF
0.109,2000.0,0.06,0.01193,754.75,7207.3,6.6,8.45,0.17,183.4,27.79,74.75,908.68,8677.23,8.31,13.2,0.26,336.84,40.51,72.41,804.16,7679.21,7.14,10.43,0.2,225.32,31.58,74.06,320.0,30.0,80.0,40.0,0.74395233,33.8,45.433018,14.393667,Turnigynano-tech2000mAh2040C,t_motor_AT2312KV1400,apc_propellers_10x3_8SF
0.109,2000.0,0.06,0.01787,611.73,5841.58,6.6,11.64,0.29,306.62,46.46,61.64,628.84,6004.99,6.86,16.76,0.31,336.84,49.13,61.09,504.6,4818.57,5.09,8.53,0.2,160.79,31.58,65.12,320.0,30.0,80.0,40.0,0.76771235,46.56,60.647717,8.609556,Turnigynano-tech2000mAh2040C,t_motor_AT2312KV1400,apc_propellers_12x4_7SF
0.109,2000.0,0.06,0.02699,681.67,6509.46,6.6,11.0,0.23,246.36,37.33,68.26,747.78,7140.76,7.46,16.59,0.29,336.84,45.15,66.62,622.04,5940.09,5.89,9.36,0.2,186.09,31.58,69.36,320.0,30.0,80.0,40.0,0.80419236,44.0,54.71328,10.715242,Turnigynano-tech2000mAh2040C,t_motor_AT2312KV1400,apc_propellers_12x6E
0.109,2000.0,0.06,0.00708,856.15,8175.61,6.6,4.96,0.09,96.03,14.55,81.44,1257.79,12010.96,10.29,12.55,0.2,336.84,32.74,80.43,1238.39,11825.79,10.1,10.71,0.2,318.85,31.58,80.59,320.0,30.0,80.0,40.0,0.72455233,19.84,27.382423,27.49141,Turnigynano-tech2000mAh2040C,t_motor_AT2312KV1400,apc_propellers_8x3_8SF
0.109,2000.0,0.06,0.00907,809.06,7725.98,6.6,6.69,0.13,136.6,20.7,78.94,1066.86,10187.75,9.19,13.59,0.23,336.84,36.65,76.67,994.69,9498.56,8.43,11.22,0.2,266.36,31.58,77.49,320.0,30.0,80.0,40.0,0.73251235,26.76,36.531807,19.323671,Turnigynano-tech2000mAh2040C,t_motor_AT2312KV1400,apc_propellers_9x3_8SF
0.109,2000.0,0.06,0.02998,697.29,6658.59,6.6,11.58,0.22,232.91,35.29,69.7,778.64,7435.43,7.62,16.69,0.28,336.84,44.2,67.87,659.41,6296.94,6.15,12.76,0.2,194.14,31.58,70.48,320.0,30.0,80.0,40.0,0.81615233,46.32,56.75411,11.334656,Turnigynano-tech2000mAh2040C,t_motor_AT2312KV1400,apc_propellers_13x4E
0.109,2000.0,0.06,0.02214,681.18,6504.82,6.6,11.25,0.23,246.78,37.39,68.22,743.26,7097.64,7.44,16.95,0.29,336.84,45.3,66.43,630.25,6018.44,5.95,12.97,0.2,187.86,31.58,69.61,320.0,30.0,80.0,40.0,0.78479236,45.0,57.340008,10.698048,Turnigynano-tech2000mAh2040C,t_motor_AT2312KV1400,apc_propellers_12x4_5MR
