Name,ADAPTER_DIAMETER,ADAPTER_LENGTH,CAN_DIAMETER,CAN_LENGTH,COST,COST_ADAPTER,Classification,ESC/BEC Class,INTERNAL_RESISTANCE,IO_IDLE_CURRENT@10V,KM,KT,KV,LENGTH,MAX_CURRENT,MAX_POWER,MODEL,Max # of Cells,Min # of Cells,PROP_PITCH_REC.,PROP_SIZE_REC.,Poles,SHAFT_DIAMETER,TOTAL_LENGTH,WEIGHT,para_CONTROL_CHANNEL_[]AssignedValue
t_motor_AS2820KV880,6,30,36.2,20.0,34.0,,Motor,3.0,34.0,2.0,0.058850377276750604,0.010851473392629226,880.0,42.0,45.0,626.0,AS2820KV880,4.0,3.0,"5,7","11,14",12N14P,5.0,62.2,0.136,1
t_motor_AT2312KV1400,6,23,28.8,12.0,34.99,,Motor,3.0,55.0,1.1,0.029084526753195856,0.006820926132509801,1400.0,30.0,30.0,320.0,AT2312KV1400,4.0,2.0,"4,7","7,9",12N14P,4.0,44.5,0.06,1
t_motor_AT2814KV1200,"6,8","30,36",35.2,14.0,49.99,,Motor,3.0,26.0,1.8,0.04935185281240953,0.007957747154594767,1200.0,36.0,55.0,800.0,AT2814KV1200,4.0,3.0,"4,6","9,12",12N14P,5.0,54.5,0.108,1
t_motor_AS2814KV900,6,30,36.2,14.0,33.99,,Motor,3.0,43.5,1.35,0.05087263630837239,0.01061032953945969,900.0,36.0,37.0,553.0,AS2814KV900,4.0,3.0,"4,7","9,14",12N14P,5.0,54.5,0.11,1
t_motor_AT2312KV1150,6,23,28.8,12.0,34.99,,Motor,3.0,75.0,0.85,0.030320957380828555,0.008303736161316279,1150.0,30.0,25.0,350.0,AT2312KV1150,4.0,2.0,"4,7","8,10",12N14P,4.0,44.5,0.06,1
t_motor_AT4125KV540,"8,10","35,40",50.0,25.0,115.99,,Motor,3.0,14.0,2.6,0.14945608590576698,0.01768388256576615,540.0,50.0,85.0,2000.0,AT4125KV540,6.0,4.0,"7,9","13,16",12N14P,6.0,74.0,0.355,1
t_motor_MN4012KV480,"6,8","31.5,31.5",44.7,12.0,92.9,,Motor,2.0,57.0,1.3,0.08332833742247843,0.019894367886486918,480.0,33.0,29.0,870.0,MN4012KV480,8.0,4.0,"4,6","12,16",18N24P,4.0,40.9,0.155,1
kde_direct_KDE2814XF_515,6,15,35.5,14.0,71.95,,Motor,1.0,130.0,0.3,0.0514,0.0185,515.0,31.7,24.0,532.0,KDE2814XF_515,6.0,4.0,"3,6","12,16",12S14P,4.0,41.45,0.125,1
kde_direct_KDE3510XF_475,"6,8","17,17",42.2,10.0,92.95,,Motor,1.0,105.0,0.2,0.062,0.0201,475.0,35.0,30.0,666.0,KDE3510XF_475,6.0,4.0,"4,6","12,16",12S14P,5.0,44.75,0.17500000000000002,1
t_motor_AT3520KV720,"6,8","30,36",43.0,20.0,79.99,,Motor,3.0,20.0,1.6,0.09378294959969856,0.013262911924324612,720.0,45.0,70.0,1300.0,AT3520KV720,5.0,4.0,"5,8","13,15",12N14P,5.0,65.0,0.339,1
t_motor_MN3510KV630,6,26,41.8,10.0,79.9,,Motor,2.0,65.0,0.5,0.059453052052038345,0.015157613627799556,630.0,29.0,22.0,495.0,MN3510KV630,4.0,3.0,"4,5","12,14",12N14P,4.0,37.1,0.11900000000000001,1
t_motor_AT2820KV1050,"6,8","30,36",35.2,20.0,59.99,,Motor,3.0,28.0,2.0,0.05435044037154876,0.009094568176679734,1050.0,43.0,65.0,900.0,AT2820KV1050,4.0,3.0,"5,8","10,14",12N14P,5.0,63.5,0.139,1
t_motor_AS2308KV1450,"5,6","24,28",29.4,8.0,18.99,,Motor,3.0,88.0,0.74,0.02220046360197951,0.006585721783112911,1450.0,26.0,24.0,275.0,AS2308KV1450,4.0,2.0,"5,7","7,10",12N14P,4.0,40.5,0.049,1
t_motor_AT2317KV1400,6,23,28.8,17.0,39.99,,Motor,3.0,35.0,1.7,0.03645938378334958,0.006820926132509801,1400.0,36.0,45.0,700.0,AT2317KV1400,4.0,2.0,"4,7","8,10",12N14P,4.0,52.0,0.08,1
t_motor_MN4014KV400,"6,8","31.5,31.5",44.7,14.0,96.9,,Motor,2.0,67.0,1.3,0.09223037816543718,0.0238732414637843,400.0,35.0,30.0,900.0,MN4014KV400,8.0,4.0,"4,6","14,18",18N24P,4.0,42.9,0.171,1
t_motor_AS2820KV1250,6,30,36.2,20.0,34.0,,Motor,3.0,16.8,3.44,0.05893953811705331,0.007639437268410976,1250.0,42.0,77.0,1092.0,AS2820KV1250,4.0,3.0,"5,8","8,12",12N14P,5.0,62.2,0.14400000000000002,1
t_motor_AS2312KV1400,"5,6","24,28",29.4,12.0,19.99,,Motor,3.0,50.0,1.05,0.030504109003593304,0.006820926132509801,1400.0,30.0,30.0,334.0,AS2312KV1400,4.0,3.0,"5,7","7,9",12N14P,4.0,44.5,0.063,1
t_motor_AT2820KV880,"6,8","30,36",35.2,20.0,59.99,,Motor,3.0,39.0,1.6,0.05494857147788286,0.010851473392629226,880.0,43.0,45.0,700.0,AT2820KV880,4.0,3.0,"5,8","10,15",12N14P,5.0,63.5,0.139,1
