Name,Classification,DIAMETER,Direction,HUB_THICKNESS,MODEL,PITCH,Performance_File,SHAFT_DIAMETER,Weight
apc_propellers_15x8,Propeller,381.0,1,17.02,apc_propellers_15x8,203.2,PER3_15x8.dat,7.94,0.08600000000000001
apc_propellers_5x4R-RH,Propeller,127.0,1,7.11,apc_propellers_5x4R-RH,101.6,PER3_5x4R-RH.dat,5.0,0.007980000000000001
apc_propellers_12x9W,Propeller,304.8,1,13.97,apc_propellers_12x9W,228.6,PER3_12x9W.dat,7.94,0.053020000000000005
apc_propellers_7x6,Propeller,177.8,1,10.41,apc_propellers_7x6,152.4,PER3_7x6.dat,4.76,0.01306
apc_propellers_11x14,Propeller,279.4,1,14.48,apc_propellers_11x14,355.6,PER3_11x14.dat,7.94,0.03914
apc_propellers_14x13,Propeller,355.6,1,15.75,apc_propellers_14x13,330.2,PER3_14x13.dat,7.94,0.0689
apc_propellers_6_5x5_0,Propeller,165.1,1,10.16,apc_propellers_6_5x5_0,127.0,PER3_65x50.dat,4.76,0.01107
apc_propellers_6_5x6_0,Propeller,165.1,1,10.16,apc_propellers_6_5x6_0,152.4,PER3_65x60.dat,4.76,0.01107
apc_propellers_14x10,Propeller,355.6,1,16.26,apc_propellers_14x10,254.0,PER3_14x10.dat,7.94,0.07398
apc_propellers_5x3EP,Propeller,127.0,-1,5.84,apc_propellers_5x3EP,76.2,PER3_5x3E.dat,6.35,0.00313
apc_propellers_8_8x9_75,Propeller,223.52,1,15.49,apc_propellers_8_8x9_75,247.65,PER3_88x975.dat,6.35,0.02608
apc_propellers_14x7E,Propeller,355.6,1,11.18,apc_propellers_14x7E,177.8,PER3_14x7E.dat,6.35,0.03402
apc_propellers_7x7E,Propeller,177.8,1,8.64,apc_propellers_7x7E,177.8,PER3_7x7E.dat,6.35,0.007980000000000001
apc_propellers_10x10,Propeller,254.0,1,14.22,apc_propellers_10x10,254.0,PER3_10x10.dat,6.35,0.03602
apc_propellers_9x5,Propeller,228.6,1,11.18,apc_propellers_9x5,127.0,PER3_9x5.dat,6.35,0.02214
apc_propellers_14x7EP,Propeller,355.6,-1,11.18,apc_propellers_14x7EP,177.8,PER3_14x7E.dat,6.35,0.03402
apc_propellers_11x3,Propeller,279.4,1,13.21,apc_propellers_11x3,76.2,PER3_11x3.dat,6.35,0.03914
apc_propellers_14x4_7SF,Propeller,355.6,1,7.62,apc_propellers_14x4_7SF,119.38,PER3_14x47SF.dat,6.35,0.02495
apc_propellers_13x13_5N,Propeller,330.2,1,14.73,apc_propellers_13x13_5N,342.9,PER3_13x135N.dat,7.94,0.05189
apc_propellers_19x10EP,Propeller,482.6,-1,12.45,apc_propellers_19x10EP,254.0,PER3_19x10E.dat,6.35,0.08301
apc_propellers_20_5x14E,Propeller,520.7,1,14.73,apc_propellers_20_5x14E,355.6,PER3_205x14E.dat,6.35,0.12306
apc_propellers_12x12EP,Propeller,304.8,-1,10.92,apc_propellers_12x12EP,304.8,PER3_12x12E.dat,6.35,0.02599
apc_propellers_22x12WE,Propeller,558.8,1,13.97,apc_propellers_22x12WE,304.8,PER3_22x12WE.dat,7.94,0.15799000000000002
apc_propellers_13x4EP,Propeller,330.2,-1,10.16,apc_propellers_13x4EP,101.6,PER3_13x4E.dat,6.35,0.02998
apc_propellers_5x3E,Propeller,127.0,1,5.84,apc_propellers_5x3E,76.2,PER3_5x3E.dat,6.35,0.00313
apc_propellers_8_8x9_25,Propeller,223.52,1,14.48,apc_propellers_8_8x9_25,234.95,PER3_88x925.dat,6.35,0.026940000000000002
apc_propellers_17x4W,Propeller,431.8,1,11.18,apc_propellers_17x4W,101.6,PER3_17x4W.dat,7.94,0.09498000000000001
apc_propellers_8x8EP,Propeller,203.2,-1,10.16,apc_propellers_8x8EP,203.2,PER3_8x8E.dat,6.35,0.01501
